kappa,Sample,Train W+,Train W-,Train Z,Validation W+,Validation W-,Validation Z,Test W+,Test W-,Test Z,Overall ACC,W+ AUC,W+ ACC,W- AUC,W- ACC,Z AUC,Z ACC,time
0.15,100k,11367,12071,10354,2928,2924,2596,3516,3700,3280,0.6342416405677795,0.8247903566504003,0.7697217987804879,0.830377427898764,0.7751524390243902,0.7831389890690066,0.7643864329268293,2022-10-05 22:19:39.377108
0.15,100k,11367,12071,10354,2928,2924,2596,3516,3700,3280,0.6391006112098694,0.8249122513210179,0.7721989329268293,0.8293154160635033,0.7738185975609756,0.7821469524025201,0.7683879573170732,2022-10-05 22:48:30.039870
0.15,700k,80074,84602,72636,20122,21079,17935,24923,26276,22785,0.6669685244560242,0.8469495389269324,0.7901302984429066,0.8468875045130114,0.7843182309688581,0.8277704400934325,0.7952124783737025,2022-10-05 23:13:48.772928
0.3,100k,11395,12044,10353,2858,2946,2644,3547,3706,3243,0.6316692233085632,0.8222023212090602,0.7712461890243902,0.8246373551785227,0.7710556402439024,0.7858973919114525,0.7710556402439024,2022-10-05 23:18:13.297071
0.3,700k,80250,84492,72570,19863,21028,18245,25013,26440,22531,0.6629270911216736,0.8427615614191948,0.7859807525951558,0.8429357920351763,0.77938473183391,0.824768486708392,0.7945366565743944,2022-10-06 00:19:56.449051
0.15,1700k,194073,205456,176983,48452,51644,44032,60572,64406,55246,0.6715809106826782,0.849215577151551,0.7926191850142046,0.8509014038044813,0.7868929776278409,0.8335109574948226,0.7994828657670454,2022-10-06 16:13:31.466257
0.3,1700k,194148,205715,176649,48311,51453,44364,60634,64343,55247,0.6659046411514282,0.844584385982626,0.7876864346590909,0.8467337159242145,0.7833695845170454,0.8321449464800244,0.8001598011363636,2022-10-09 02:56:44.925392
0.15,100k-2,25255,26441,20496,6413,6492,5015,7994,8271,6263,0.6408469676971436,0.832030005888206,0.7694868607954546,0.8324543449489804,0.7702414772727273,0.7771974913145919,0.7827592329545454,2022-10-15 18:12:46.243025
0.15,100k-3,31582,32263,30875,7805,8040,7707,9632,10015,9537,0.6277412176132202,0.8288380630398331,0.7736773574561403,0.8253502369430881,0.7715871710526315,0.7679703791955272,0.7527754934210527,2022-10-15 23:28:18.038020
0.15,1000k-fish,61872,65557,102971,15327,16220,25797,19212,20180,32288,0.694042980670929,0.8564159352927863,0.8190150669642857,0.8561157413376697,0.8138253348214286,0.8431954429139068,0.7767578125,2022-10-29 21:05:54.516036
0.15,1000k-fish,61872,65557,102971,15327,16220,25797,19212,20180,32288,0.6937081217765808,0.8574225173204131,0.8202566964285715,0.8556193255843044,0.8135044642857143,0.842378395526145,0.77568359375,2022-10-29 21:35:45.511849
0.15,1000k-fish-2,313370,323897,307373,78299,81155,76578,97750,101347,95815,0.6821492314338684,0.8555508054692507,0.7972513834635416,0.8541440946674879,0.79290771484375,0.8273258872613273,0.7914293077256944,2022-10-30 03:25:14.842816
0.15,1000k,313068,323475,307073,78176,80581,76763,97518,100926,96468,0.6844313144683838,0.8565178969985225,0.7978142632378472,0.855475530843562,0.7941996256510416,0.8279231342440279,0.7931145562065972,2022-10-30 18:25:41.058634
0.15,500k-J,112415,116276,101037,27914,29110,25408,34976,36491,31445,0.690065324306488,0.8609544119988582,0.7980993470149254,0.8584133418165906,0.7932311100746269,0.8301883833277789,0.808477145522388,2022-11-06 14:22:08.844832
0.15,1000k-J,224518,232960,201978,56078,58367,50419,69783,72784,63257,0.6971830129623413,0.8642422484397285,0.8010096004353234,0.8626281609522264,0.7963794309701493,0.8370062189458536,0.8122473569651741,2022-11-06 21:45:01.418641
0.15,1000k,223683,232549,202200,56028,57982,50342,69804,72691,62817,0.6820448637008667,0.856739632296065,0.7951215710723192,0.8554664669481732,0.7911325202618454,0.8160396375893967,0.7979124454488778,2022-11-17 15:23:30.882417
0.15,1000k,223742,232980,201710,56002,57682,50668,69760,72578,62974,0.6836570501327515,0.8572356398608293,0.7955794108478803,0.8564516321651738,0.7917462203865336,0.817101765751125,0.7979270573566085,2022-11-18 10:46:56.206453
