kappa,Sample,Model,Overall ACC,time,Train W+W+,Validation W+W+,Test W+W+,W+W+ AUC,W+W+ ACC,Train W-W-,Validation W-W-,Test W-W-,W-W- AUC,W-W- ACC,Train ZZ,Validation ZZ,Test ZZ,ZZ AUC,ZZ ACC,Train W+Z,Validation W+Z,Test W+Z,W+Z AUC,W+Z ACC,Train W-Z,Validation W-Z,Test W-Z,W-Z AUC,W-Z ACC,Train W+W-,Validation W+W-,Test W+W-,W+W- AUC,W+W- ACC
0.15,10k,CNN,0.208984375,2022-11-27 14:43:52.025970,277,34,94,0.5974498625674438,0.81640625,291,57,91,0.6513272950327582,0.822265625,222,40,74,0.5629396519807479,0.85546875,231,43,72,0.4747474747474748,0.859375,252,34,90,0.5319905213270142,0.826171875,263,48,91,0.5113935945289865,0.822265625
0.15,10k,CNNsq,0.2734375,2022-11-27 15:14:41.893011,277,34,94,0.7600529369846278,0.84375,291,57,91,0.7276500221868393,0.837890625,222,40,74,0.5686782673084042,0.859375,231,43,72,0.5594065656565657,0.859375,252,34,90,0.5332543443917851,0.82421875,263,48,91,0.4816632298817572,0.822265625
0.15,1000k,CNN,0.4511536359786987,2022-11-27 15:20:35.487143,30684,7542,9600,0.8596590342174959,0.857786945093458,32899,8280,10219,0.854693028246311,0.8500839661214953,25012,6137,7818,0.7974079432085264,0.8679541471962616,27465,6713,8653,0.7398828052229163,0.8450277453271028,28292,7116,8769,0.736820416850044,0.8420889310747663,30752,7732,9725,0.7406540285284914,0.830443195093458
0.15,1000k,CNNsq,0.379417359828949,2022-11-27 15:51:20.932601,30684,7542,9600,0.8297510514876211,0.8455753504672897,32899,8280,10219,0.8215982021113362,0.8367041471962616,25012,6137,7818,0.6839699858751638,0.8575131425233645,27465,6713,8653,0.6865356218541862,0.8420524240654206,28292,7116,8769,0.6862119945888723,0.8399350175233645,30752,7732,9725,0.6899733505644784,0.8262631425233645
0.15,1000k,CNNsq,0.3798189163208008,2022-11-27 17:01:07.079046,30684,7542,9600,0.8294345032256993,0.8452467873831776,32899,8280,10219,0.8211324753521134,0.8367406542056075,25012,6137,7818,0.6838237048345321,0.8576409170560748,27465,6713,8653,0.6869529912857539,0.8421801985981309,28292,7116,8769,0.6862239411412288,0.8400262850467289,30752,7732,9725,0.6893911193612989,0.826007593457944
0.15,1000k-dEta,CNN,0.4374511837959289,2022-11-29 14:34:27.824337,23237,5648,7117,0.8572458360785411,0.8577392578125,24445,6011,7517,0.8481794225188567,0.8489501953125,18939,4747,5801,0.7888514554652574,0.8668212890625,20801,5190,6396,0.7292791054818937,0.84501953125,21300,5284,6729,0.7266291116392484,0.8360595703125,23374,5888,7400,0.7351855450504139,0.826904296875
0.15,1000k-dEta,CNNsq,0.434497058391571,2022-11-29 14:50:47.801775,23237,5648,7117,0.85184474170044,0.8548095703125,24445,6011,7517,0.8423930187867363,0.84794921875,18939,4747,5801,0.7998905594771897,0.869775390625,20801,5190,6396,0.7179363056661021,0.844091796875,21300,5284,6729,0.7168654010189501,0.8359619140625,23374,5888,7400,0.7323753986405953,0.8266357421875
0.15,1000k-dEta,CNN,0.4399169981479645,2022-11-29 17:04:07.751740,23237,5648,7117,0.8583177277319347,0.8576904296875,24445,6011,7517,0.8494946007043505,0.849365234375,18939,4747,5801,0.7905469667314137,0.86767578125,20801,5190,6396,0.73057037641206,0.8453857421875,21300,5284,6729,0.7285652570220649,0.836669921875,23374,5888,7400,0.7363202855716264,0.8271240234375
0.15,1000k-dEta,CNNsq,0.374072253704071,2022-11-29 17:17:17.304998,23237,5648,7117,0.8311451405273451,0.846435546875,24445,6011,7517,0.8179538970903062,0.8373046875,18939,4747,5801,0.678724571051148,0.8584716796875,20801,5190,6396,0.684119410338411,0.8438720703125,21300,5284,6729,0.6830939695472178,0.8357177734375,23374,5888,7400,0.6896600119189511,0.8236572265625
0.15,1000k-dEta,CNNsq,0.3747070431709289,2022-11-29 18:50:39.448898,23237,5648,7117,0.8314750533058265,0.846728515625,24445,6011,7517,0.8193133051751555,0.83798828125,18939,4747,5801,0.6781350360591794,0.8585205078125,20801,5190,6396,0.684158223600432,0.84384765625,21300,5284,6729,0.6830506532204106,0.835888671875,23374,5888,7400,0.6908233820829173,0.8234619140625
0.15,1000k-dEta,CNN,0.4368408322334289,2022-12-02 23:27:19.495588,23237,5648,7117,0.858328846194877,0.8577392578125,24445,6011,7517,0.8485647246500214,0.8484130859375,18939,4747,5801,0.7893596450226638,0.8667236328125,20801,5190,6396,0.7287303799084879,0.8455322265625,21300,5284,6729,0.7265951575433365,0.83623046875,23374,5888,7400,0.7362539783526076,0.8272216796875
0.15,10k-25x25,CNN,0.2734375,2022-12-03 12:53:17.506227,223,42,44,0.7784090909090908,0.83984375,229,53,42,0.8114152202937249,0.85546875,181,35,35,0.5504848093083387,0.86328125,210,46,40,0.6384259259259258,0.84375,196,39,41,0.4740782756664776,0.83984375,241,41,54,0.533094976164283,0.7890625
0.15,1000k-25x25,CNN,0.37841796875,2022-12-03 13:10:05.227164,23095,5777,7141,0.8299119402080349,0.844580078125,24396,6062,7515,0.8202181255667764,0.837744140625,18875,4718,5895,0.6921257371654508,0.8560791015625,20707,5146,6516,0.6851811677270617,0.84091796875,21270,5328,6707,0.6867130458396975,0.8362548828125,23753,5737,7186,0.689745423695242,0.82744140625
0.15,1000k-15x15,CNN,0.348876953125,2022-12-03 14:03:21.404160,23295,5627,7070,0.8142472881103395,0.842578125,24392,6101,7480,0.8058925074591582,0.83232421875,18783,4825,5877,0.6143662639623498,0.8565185546875,20587,5199,6588,0.6675593206045699,0.83916015625,21319,5231,6772,0.668023642126566,0.83466796875,23720,5785,7173,0.6686716869974305,0.8268798828125
